證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"6142","友勁","584468","5324542","9.10","9.23","9.01","9.07","0.0100","208"
"6152","百一","403389","3918972","9.78","9.95","9.52","9.95","0.2500","158"
"6153","嘉聯益","7319606","181881212","24.90","25.45","24.45","24.50","-0.4000","2970"
"6155","鈞寶","28300","584880","20.85","20.85","20.55","20.70","-0.1000","26"
"6164","華興","173672","1649496","9.47","9.59","9.42","9.49","0.0600","118"
"6165","浪凡","43000","1071050","25.30","25.30","24.80","24.85","0.0000","27"
"6166","凌華","44000","2198000","50.00","50.20","49.75","49.80","-0.4000","39"
"6168","宏齊","184262","2939182","16.05","16.10","15.80","15.85","0.0000","136"
"6176","瑞儀","2143264","212361895","98.60","99.80","98.30","98.50","0.0000","1614"
"6177","達麗","203062","5438160","26.55","26.90","26.55","26.70","0.1500","126"
"6183","關貿","65567","3943153","60.90","61.70","59.60","59.90","-1.0000","92"
"6184","大豐電","8896","425553","47.90","48.00","47.65","47.75","-0.2000","14"
"6189","豐藝","84420","3012680","35.80","35.90","35.55","35.55","-0.1000","106"
"6191","精成科","750284","19140040","25.55","25.75","25.25","25.30","-0.3500","444"
"6192","巨路","130827","8799040","66.00","68.70","66.00","66.60","0.6000","137"
"6196","帆宣","408747","41255832","101.50","103.00","99.80","99.80","-0.2000","353"
"6197","佳必琪","162266","5846841","36.30","36.50","35.70","35.70","-0.8000","136"
"6201","亞弘電","10235","397750","38.85","39.00","38.80","38.80","-0.1500","20"
"6202","盛群","2191738","149730516","67.40","69.40","66.60","68.30","2.3000","2161"
"6205","詮欣","11916179","1030300690","85.60","87.80","84.20","87.00","2.1000","8161"
"6206","飛捷","425913","27120957","64.20","64.50","63.10","63.10","-0.7000","361"
"6209","今國光","192292","4396596","23.15","23.20","22.55","22.60","-0.2000","140"
"6213","聯茂","1135951","63705664","56.10","57.00","55.70","55.70","-0.1000","725"
"6214","精誠","864102","58149669","67.30","68.20","66.90","67.00","-1.0000","413"
"6215","和椿","75749","1473409","19.45","19.70","19.30","19.45","0.0000","83"
"6216","居易","143963","3579227","25.00","25.20","24.60","24.60","-0.4000","129"
"6224","聚鼎","84162","4565623","54.90","55.00","53.60","53.60","-1.0000","183"
"6225","天瀚","62143","471260","7.00","7.46","6.97","6.97","-0.2600","67"
"6226","光鼎","282255","2830668","10.05","10.15","9.90","9.93","-0.0700","156"
"6230","尼得科超眾","28222","2997109","107.50","107.50","104.00","105.50","0.0000","41"
"6235","華孚","4078856","131444332","31.90","32.90","31.65","31.85","0.2500","2447"
"6239","力成","3820442","272599767","71.70","72.00","71.00","71.00","-0.8000","2312"
"6243","迅杰","211046","5270553","24.50","25.50","24.45","24.80","0.3500","160"
"6257","矽格","1805062","83471938","46.30","46.75","45.80","46.10","-0.4000","1910"
"6269","台郡","787417","71302243","90.10","91.70","89.60","90.40","-0.1000","832"
"6271","同欣電","2062546","335514338","160.00","166.00","159.50","160.50","1.0000","1734"
"6277","宏正","15710","1192857","76.20","76.20","75.60","76.00","0.3000","20"
"6278","台表科","1076701","87316620","81.10","82.00","80.30","80.30","-0.6000","1095"
"6281","全國電","12581","1011143","80.30","80.60","80.10","80.60","0.0000","33"
"6282","康舒","2117770","59636392","28.40","28.65","27.80","27.85","-0.4000","1342"
"6283","淳安","127519","3889923","30.70","30.85","30.15","30.15","-0.3500","99"
"6285","啟碁","3430574","290256065","84.90","85.70","83.80","84.00","-0.7000","2720"
"6288","聯嘉","187000","3876450","20.70","21.10","20.25","20.55","-0.2500","148"
"6405","悅城","5208","96626","18.50","18.65","18.50","18.55","-0.1000","9"
"6409","旭隼","181993","244344095","1340.00","1365.00","1320.00","1340.00","5.0000","214"
"6412","群電","267300","18362305","67.20","69.20","67.20","68.60","0.6000","264"
"6414","樺漢","379214","71300224","190.00","190.00","186.50","186.50","-2.5000","399"
"6415","矽力*-KY","1398648","587107045","418.00","426.00","414.50","419.00","-3.0000","1218"
"6416","瑞祺電通","59113","4802459","81.40","82.20","80.60","80.60","-0.8000","61"
"6426","統新","53012","3329553","63.00","63.50","62.30","62.80","-0.3000","50"
"6431","光麗-KY","54000","1086500","20.20","20.55","19.75","20.15","0.1500","43"
"6438","迅得","530614","42354084","80.50","81.50","79.10","79.40","-1.0000","511"
"6442","光聖","723586","30076948","40.50","42.55","40.50","40.85","0.1000","516"
"6443","元晶","16997392","599013752","35.05","35.65","34.80","35.20","0.1500","7649"
"6449","鈺邦","12003","482474","40.20","40.25","40.10","40.20","0.0000","13"
"6451","訊芯-KY","99080","8338563","84.80","85.00","83.60","84.00","-0.3000","76"
"6456","GIS-KY","4384138","368982021","83.20","84.80","83.00","83.90","1.2000","3384"
"6464","台數科","88061","8183315","92.50","93.60","92.30","92.80","-0.2000","40"
"6477","安集","2773729","122159091","43.25","44.70","43.25","43.80","0.4000","2024"
"6491","晶碩","368748","113292398","312.00","315.50","303.00","305.00","-7.0000","483"
"6504","南六","8490","620689","73.40","73.50","72.40","73.00","-0.3000","69"
"6505","台塑化","3283945","257696876","78.40","79.60","77.60","77.90","-1.5000","2512"
"6515","穎崴","196608","69777390","356.00","362.00","348.00","350.00","-7.0000","219"
"6525","捷敏-KY","79226","4940738","63.30","63.50","61.60","61.90","-1.0000","93"
"6531","愛普*","1939958","294373384","152.00","156.00","148.50","148.50","-4.0000","1703"
"6533","晶心科","7902302","2729043639","350.00","359.00","338.50","339.00","-11.0000","7001"
"6541","泰福-KY","261522","11645817","44.85","45.20","43.95","44.00","-0.9500","218"
"6550","北極星藥業-KY","2368539","232388484","98.00","99.90","96.50","96.70","-2.3000","2239"
"6552","易華電","49649","1426229","28.50","28.95","28.50","28.75","0.2500","60"
"6558","興能高","79221","1366416","17.30","17.35","17.10","17.30","0.0500","84"
"6573","虹揚-KY","29500","382800","13.00","13.05","12.85","12.85","-0.1500","12"
"6579","研揚","53006","3934544","76.50","76.50","73.30","73.60","0.3000","55"
"6581","鋼聯","117555","10616251","89.20","91.00","89.20","89.70","0.0000","59"
"6582","申豐","134284","7077420","52.80","53.50","52.00","52.00","-0.8000","135"
"6585","鼎基","102500","5085495","49.70","50.80","48.60","48.60","-0.9000","91"
"6591","動力-KY","83627","3242047","38.40","39.25","38.40","38.45","0.0500","86"
"6592","和潤企業","283254","27639051","97.80","98.30","97.10","97.20","-1.2000","410"
"6592A","和潤企業甲特","20217","1917126","94.90","94.90","94.80","94.80","-0.1000","24"
"6598","ABC-KY","190563","4903528","25.70","26.25","25.40","25.55","-0.3500","142"
"6605","帝寶","404998","27851914","69.20","69.80","67.80","68.10","-1.2000","386"
"6625","必應","50237","1528337","30.75","30.75","30.00","30.55","-0.3000","39"
"6641","基士德-KY","10253","523896","51.10","51.50","50.90","51.50","-0.3000","19"
"6655","科定","14034","1760436","126.50","126.50","124.00","125.00","-1.5000","14"
"6666","羅麗芬-KY","418914","31909286","76.30","78.20","73.90","73.90","-2.4000","409"
"6668","中揚光","77220","2672414","35.00","35.05","34.25","34.80","0.0500","70"
"6669","緯穎","1036057","696836467","678.00","688.00","663.00","672.00","-6.0000","1034"
"6670","復盛應用","455926","84892732","183.50","187.50","183.50","187.50","2.5000","398"
"6671","三能-KY","7000","266550","38.55","38.60","37.70","38.60","0.1000","5"
"6672","騰輝電子-KY","88336","5365471","60.60","61.40","60.20","60.40","-0.3000","113"
